Lag,HistoricalACF,SimulatedACF
0,1,1
1,0.342198453097277,0.472060228863941
2,0.25597485190042,-0.135727799046314
3,0.128631641972126,-0.151386151040721
4,0.103738111234129,0.0299770519988371
5,0.0636205907725339,0.044843845579019
6,0.0531062693265991,0.0107778410939717
7,0.0204309554461365,0.0790874480273596
8,0.000660415004478792,0.1639623978431
9,0.00337945804470387,0.099590659514867
10,-0.00321782835188657,0.0275273451952499
11,0.00102242895914552,0.0579777605787021
12,-0.000995638990726382,0.0805478326674777
13,-0.000499776333058351,0.0286004027495132
14,-0.00329187518435368,-0.017460569390622
15,-0.00200423488911615,0.019363770956805
16,-0.000785923710764866,0.103300622604005
17,0.00582994138751078,0.0981126196278336
18,0.0103148805798808,0.0281987047516042
19,0.0115771068079022,0.033376959983504
20,0.0546420920813554,0.0865000714017246
21,0.0618931881669746,0.0522171993519378
22,0.0916615905001694,0.00020959517056167
23,0.0990152178833378,0.00753332148329655
24,0.122732926874188,0.0610977510228448
25,0.148698950457231,0.0665915544705094
26,0.100127120731091,0.0356043572795937
27,0.0982364822130595,0.0525401230880733
28,0.0233416195413136,0.0903267461177133
29,0.0518561846237838,0.0590378001263389
30,0.00808176354544095,0.0247556226761156
31,0.0320264749088463,0.0294318365246497
32,0.00142100932210242,0.0678372652441338
33,-0.000233404413824149,0.0899349902079796
34,-0.00391226215538416,0.0605295294504697
35,-0.00386640162842758,0.0342967510263239
36,-0.00371831237720159,0.0647885306646437
37,-0.00341158815652344,0.0741579370546426
38,-0.00415057379869178,0.0320784948301408
39,-0.00300129280863333,0.0326076140889439
40,-0.00351550927204409,0.0498091074856407
41,0.00154391094638207,0.031379528888405
42,0.00849011290763235,0.0186725758389321
43,0.012095636846917,0.0520903170260169
44,0.0310924967337596,0.076603195309569
45,0.0649731261526135,0.0554708508886883
46,0.0555516993505098,0.0292147696182959
47,0.0822650216897394,0.0459458409951545
48,0.0754955181871624,0.0495204874433942
49,0.130006317730826,0.00918347445028843
50,0.135927866359133,-0.00228887281621406
