Lag,HistoricalACF,SimulatedACF
0,1,1
1,0.183401801101176,0.49192672562255
2,0.141947975172449,-0.0999373390306749
3,0.0394239445246907,-0.188076479386689
4,0.0538456500761419,-0.0724231338597615
5,0.0542915939500249,-0.0439222547481391
6,0.0219068966356034,-0.0349838240336389
7,0.0810512428180353,0.0556501237633842
8,0.00903773578551477,0.132897082849605
9,0.000358128289331394,0.111045869954927
10,0.00120533976996747,0.0516323600191559
11,0.00806825576044703,0.00123764376711536
12,0.00626402727611236,-0.00961159378474116
13,0.00509044076284013,0.00732240796941062
14,0.000101049806039258,0.0384927758655976
15,0.000256019475595006,0.052034304730106
16,0.00603661125349549,0.0661739443881043
17,0.0397974372472407,0.0728759043543116
18,0.0260732981122389,0.0558329096393025
19,0.053849669114269,0.00774613300775737
20,0.0255718712825307,-0.0316887035157638
21,0.0336040377469083,-0.0378905412280616
22,0.0526243287342804,-0.0188712627471355
23,0.0777543624645954,0.0345594535984477
24,0.22596192390544,0.0810574954797954
25,0.0640620287239817,0.0737265432633892
26,0.0337156160175922,0.0386170155942145
27,0.0210672420201488,0.01102155454753
28,0.0357971089365473,0.0108681564014539
29,0.0368743465049561,0.0090237474583025
30,0.00945836282488695,0.00132645297995973
31,0.0474357520242915,0.0235901128320741
32,0.00883099251699364,0.0384797926291573
33,-0.00301694560337542,0.0102500427902748
34,-0.00311442209400075,-0.0236778355268999
35,-0.00152902731482544,-0.0126610045456697
36,-0.00276922122579217,0.00576892123059018
37,-0.00163128878469666,-0.00206374979979492
38,-0.00220720247520435,0.00871256045708304
39,-0.00251824477383278,0.0414913341294004
40,0.0034006782652632,0.0451674405420855
41,0.012757149503534,0.00710261818744162
42,0.0078344584786932,-0.00316194507307586
43,0.0360280369536198,-0.0105698716233913
44,0.0181501133759236,-0.0222370285833535
45,0.016744923660994,0.00559870840493253
46,0.0407330012997785,0.0337704457182478
47,0.038252663230384,0.0251052495232388
48,0.0525409362177596,-0.00898165467629003
49,0.0346097461008033,-0.0111137121477411
50,0.0500209205288268,0.0160006341306757
